Team,,Record,,Rat,,Pwr,,Off,,Def,,HFA,SoS,
Butler,Big East,13-40,0.245,258,6.90,251,2.93,263,6.75,236,1.94,0.35,178,5.26
Manhattan,Metro Atlantic,24-31,0.436,259,6.89,262,2.55,257,6.79,255,1.51,0.29,266,3.73
Maine,America East,20-35,0.364,260,6.89,256,2.74,283,6.20,210,2.28,0.19,248,4.06
Lehigh,Patriot League,25-29,0.463,261,6.86,249,2.95,222,7.35,264,1.35,0.27,287,2.78
Bucknell,Patriot League,18-34,0.346,262,6.82,258,2.66,268,6.71,248,1.69,0.17,250,4.02
TN Martin,OH Valley,19-35,0.352,263,6.82,269,2.35,188,7.84,286,0.26,0.29,224,4.49
W Illinois,Summit Lg,14-36,0.280,264,6.82,275,2.09,281,6.38,259,1.46,0.11,189,5.11
George Mason,Atlantic 10,19-35,0.352,265,6.81,272,2.20,267,6.73,271,1.22,0.24,242,4.18
Siena,Metro Atlantic,25-32,0.439,266,6.80,277,2.03,230,7.26,282,0.52,0.25,275,3.46
Army,Patriot League,16-32,0.333,267,6.80,268,2.37,274,6.45,250,1.67,0.10,243,4.14
Hofstra,Colonial,15-37,0.288,268,6.80,261,2.60,240,7.01,266,1.34,0.16,208,4.76
Ark Pine Bluff,Southwestern AC,22-25,0.468,269,6.78,257,2.69,237,7.09,265,1.35,0.28,289,2.66
NC Central,Mid-Eastern AC,25-30,0.455,270,6.77,270,2.31,279,6.39,251,1.67,0.37,286,2.78
Lafayette,Patriot League,14-29,0.326,271,6.75,271,2.27,241,6.98,274,1.04,0.18,255,3.87
UNC Asheville,Big South,16-38,0.296,272,6.75,267,2.38,221,7.36,280,0.77,0.15,238,4.25
F Dickinson,Northeast,28-28,0.500,273,6.72,276,2.06,254,6.85,275,0.96,0.28,291,2.31
SIUE,OH Valley,9-40,0.184,274,6.72,283,1.43,261,6.77,285,0.41,0.22,121,6.18
Wagner,Northeast,19-33,0.365,275,6.71,259,2.63,272,6.52,238,1.87,0.26,280,3.17
Norfolk St,Mid-Eastern AC,29-21,0.580,276,6.70,266,2.41,275,6.44,246,1.72,0.26,299,0.98
LIU Brooklyn,Northeast,19-35,0.352,277,6.69,274,2.10,271,6.56,268,1.30,0.14,265,3.74
TX Southern,Southwestern AC,25-26,0.490,278,6.67,273,2.12,234,7.16,281,0.71,0.12,295,2.11
Niagara,Metro Atlantic,16-37-1,0.306,279,6.66,278,1.90,256,6.79,278,0.85,0.08,237,4.29
Rider,Metro Atlantic,18-33,0.353,280,6.65,280,1.80,282,6.28,269,1.27,0.21,276,3.41
NJIT,Atlantic Sun,17-36,0.321,281,6.65,279,1.90,278,6.40,270,1.25,0.29,259,3.79
Chicago St,Western Athletic,13-42,0.236,282,6.64,284,1.25,273,6.48,283,0.52,0.24,196,5.02
North Dakota,Western Athletic,8-37,0.178,283,6.60,281,1.79,285,6.19,263,1.35,0.20,173,5.34
NYIT,America East,17-26,0.395,284,6.57,286,1.04,292,5.67,272,1.12,0.32,284,2.97
La Salle,Atlantic 10,15-39,0.278,285,6.55,285,1.12,296,5.39,256,1.48,0.17,252,3.99
Grambling,Southwestern AC,19-27,0.413,286,6.45,282,1.60,191,7.82,291,-0.47,0.11,293,2.23
Jackson St,Southwestern AC,30-26,0.536,287,6.45,287,1.00,235,7.15,290,-0.39,0.22,300,0.66
Savannah St,Mid-Eastern AC,12-40,0.231,288,6.31,288,0.79,288,6.12,284,0.42,0.25,268,3.69
NC A&T,Mid-Eastern AC,13-41,0.241,289,6.31,290,0.07,248,6.92,294,-1.10,0.26,253,3.97
Iona,Metro Atlantic,11-39,0.220,290,6.28,289,0.24,291,5.75,287,0.24,0.27,258,3.81
Mt St Mary's,Northeast,11-37,0.229,291,6.08,292,-0.81,299,4.99,288,-0.05,0.12,279,3.25
St Peter's,Metro Atlantic,10-42,0.192,292,6.01,295,-1.16,295,5.57,293,-0.98,0.08,277,3.37
Southern Univ,Southwestern AC,11-32,0.256,293,5.95,291,-0.73,280,6.38,296,-1.36,0.15,283,3.03
MD E Shore,Mid-Eastern AC,16-32,0.333,294,5.90,294,-1.07,298,5.01,289,-0.33,0.21,297,1.68
Delaware St,Mid-Eastern AC,13-37,0.260,295,5.83,296,-1.30,297,5.22,292,-0.78,0.22,296,2.04
Alabama A&M,Southwestern AC,13-44,0.228,296,5.83,293,-0.98,287,6.13,295,-1.36,0.13,290,2.61
Prairie View,Southwestern AC,10-32,0.238,297,5.77,299,-2.07,290,6.09,299,-2.41,0.19,281,3.06
Coppin St,Mid-Eastern AC,14-38,0.269,298,5.73,298,-1.97,294,5.63,298,-1.85,0.14,298,1.48
Alcorn St,Southwestern AC,16-36,0.308,299,5.73,297,-1.71,293,5.64,297,-1.61,0.17,294,2.17
MS Valley St,Southwestern AC,6-36,0.143,300,5.01,300,-4.58,300,4.72,300,-3.55,0.20,288,2.67
